model;p;q;MSPE_h1;MSPE_h2;MSPE_h3;MSPE_h4;RMSPE_h1;RMSPE_h2;RMSPE_h3;RMSPE_h4;MAPE_h1;MAPE_h2;MAPE_h3;MAPE_h4
CPI_AIC;10;6;0,210397814;0,315404054;0,317303495;0,309858535;0,458691415;0,561608453;0,563296986;0,556649382;0,370019385;0,430963051;0,440772087;0,446067428
CPI_BIC;10;2;0,305041219;0,360764791;0,370236409;0,404801309;0,552305367;0,600636987;0,608470549;0,636239977;0,399893963;0,450898279;0,464274595;0,495112194
IR_AIC;6;7;0,004797588;0,004651739;0,005095151;0,006421447;0,069264622;0,068203661;0,071380323;0,080133932;0,047236332;0,043910079;0,045188586;0,051501694
IR_BIC;0;1;0,00452965;0,005545031;0,005654737;0,006718304;0,067302675;0,074464965;0,075197984;0,081965262;0,045670002;0,052097148;0,053328816;0,057084807
